Document_ID,Customer_ID,NIK_Extracted,Customer_Name_Extracted,Employer_Extracted,Monthly_Income_Extracted,Account_Number_Extracted,Loan_Amount_Extracted,OCR_Confidence
DOC0000033,C000495,3475338037207030,DEWI PRATAMA,PT Maju Jaya,22447000.0,7287057518,434300000.0,0.872
DOC0000199,C000472,1927797369487796,DEWI PRATAMA,PT Digital Indonesia,38459000.0,1184844826,309800000.0,0.923
DOC0000749,C000103,2261563695948148,EKO SAPUTRA,PT Nusantara,24712000.0,6628223263,533000000.0,0.861
DOC0000386,C000041,6690806103892234,ANDI SANTOSO,PT Digital Indonesia,14310000.0,6890029447,351600000.0,0.81
DOC0000724,C000085,7141434684494263,ANDI SANTOSO,PT Nusantara,6016000.0,1662249906,579100000.0,0.782
DOC0001188,C000084,8687131820026984,EKO SAPUTRA,PT Bank ABC,13912000.0,5752432258,625500000.0,0.924
DOC0000126,C000228,6735791642604632,Fajar Nugroho,CV Sejahtera,34236000.0,5362563291,169600000.0,0.98
DOC0000217,C000345,2757213050910214,DEWI PRATAMA,PT Maju Jaya,34182000.0,4528305109,170700000.0,0.941
DOC0000703,C000483,4297655234534441,Fajar Nugroho,PT Digital Indonesia,24473000.0,7254328249,517500000.0,1.0
DOC0000169,C000660,1639022596933451,ANDI SANTOSO,PT Bank ABC,5945000.0,7520246496,159300000.0,0.962
DOC0000898,C000417,7306413222415346,EKO SAPUTRA,CV Sejahtera,39836000.0,4248009479,760900000.0,0.943
DOC0000827,C000158,3895180005938982,BUDI WIJAYA,PT Maju Jaya,34142000.0,1219217264,469800000.0,0.995
DOC0000995,C000451,2314284622119510,EKO SAPUTRA,CV Sejahtera,29565000.0,1908235279,694900000.0,1.0
DOC0000285,C000626,5119170216029322,BUDI WIJAYA,PT Bank ABC,21567000.0,8208597179,155500000.0,0.832
DOC0000849,C000594,4562966042632557,Fajar Nugroho,PT Digital Indonesia,20779000.0,7835634499,233300000.0,0.795
DOC0000321,C000253,9961919171867560,Fajar Nugroho,PT Maju Jaya,6754000.0,8836861647,244700000.0,0.844
DOC0000088,C000646,1983405282023694,CITRA LESTARI,PT Bank ABC,42818000.0,7304913535,341100000.0,0.876
DOC0001122,C000413,3609151363870384,Fajar Nugroho,PT Digital Indonesia,27122000.0,1049395565,689800000.0,0.795
DOC0000070,C000099,2671337557596841,CITRA LESTARI,PT Nusantara,7849000.0,1522357711,453300000.0,0.923
DOC0000083,C000515,2982533367777061,ANDI SANTOSO,PT Maju Jaya,22443000.0,2037570177,783000000.0,0.889
DOC0000509,C000046,9317285291685537,EKO SAPUTRA,PT Digital Indonesia,16560000.0,6513542464,656200000.0,0.94
DOC0000814,C000553,5390147214257653,ANDI SANTOSO,PT Maju Jaya,40383000.0,1776096247,681600000.0,0.89
DOC0000035,C000185,4341164769472911,CITRA LESTARI,PT Maju Jaya,35391000.0,8242280448,215000000.0,0.909
DOC0000844,C000424,4390791969061118,BUDI WIJAYA,PT Digital Indonesia,28565000.0,2585999486,89300000.0,1.0
DOC0000404,C000695,6935611606221996,DEWI PRATAMA,PT Maju Jaya,4904000.0,4453732415,473700000.0,0.864
DOC0000291,C000357,9048093249056190,DEWI PRATAMA,PT Nusantara,37627000.0,2199214073,766600000.0,0.926
DOC0001077,C000586,4945758191797492,DEWI PRATAMA,CV Sejahtera,17318000.0,5721397880,88900000.0,1.0
DOC0000025,C000524,3627491571562891,EKO SAPUTRA,CV Sejahtera,41217000.0,5779048886,222600000.0,0.859
DOC0001045,C000317,7699395710856623,CITRA LESTARI,PT Bank ABC,33709000.0,5901430094,628800000.0,1.0
DOC0000983,C000505,8330741697889631,EKO SAPUTRA,PT Nusantara,8682000.0,5650944934,538800000.0,0.7
DOC0000528,C000127,4380070692251272,BUDI WIJAYA,PT Maju Jaya,25010000.0,9126486138,212300000.0,0.813
DOC0000656,C000152,6473876601762571,BUDI WIJAYA,CV Sejahtera,5387000.0,3580695322,74800000.0,0.964
DOC0000213,C000013,7582037946793871,EKO SAPUTRA,PT Maju Jaya,6361000.0,8816501456,561500000.0,0.79
DOC0000947,C000157,4434028965165382,BUDI WIJAYA,PT Digital Indonesia,22160000.0,1499327920,774500000.0,0.854
DOC0000716,C000441,8958280289278399,CITRA LESTARI,PT Digital Indonesia,5088000.0,9208412183,441000000.0,0.773
DOC0001017,C000574,5465584830562546,Fajar Nugroho,CV Sejahtera,20341000.0,5636507382,641500000.0,0.968
DOC0000030,C000319,1078152386174830,Fajar Nugroho,PT Nusantara,34409000.0,5239421667,684900000.0,1.0
DOC0001091,C000120,6754995585876406,BUDI WIJAYA,PT Nusantara,30599000.0,5977786814,672800000.0,0.927
DOC0000902,C000147,7283723136573469,BUDI WIJAYA,PT Digital Indonesia,19885000.0,2424690255,111400000.0,1.0
DOC0000420,C000252,5502938033432254,DEWI PRATAMA,PT Bank ABC,33115000.0,5505438022,76200000.0,0.869
DOC0000691,C000108,8075353949049200,ANDI SANTOSO,PT Maju Jaya,6514000.0,9324244159,63900000.0,0.95
DOC0000427,C000117,8455625948578194,CITRA LESTARI,PT Digital Indonesia,29524000.0,2577568415,302200000.0,1.0
DOC0000517,C000603,3028456402987007,CITRA LESTARI,PT Nusantara,9117000.0,7734861377,625800000.0,0.978
DOC0000904,C000606,1095268114250031,DEWI PRATAMA,PT Digital Indonesia,43579000.0,5895014233,665400000.0,0.932
DOC0000395,C000628,3029357677055947,Fajar Nugroho,PT Maju Jaya,38062000.0,7412874056,416100000.0,1.0
DOC0001200,C000142,3869806203422672,EKO SAPUTRA,CV Sejahtera,32317000.0,1969087176,518200000.0,0.903
DOC0000551,C000601,6078373405975304,BUDI WIJAYA,PT Maju Jaya,15017000.0,1971633564,716300000.0,1.0
DOC0000862,C000289,1861410948889035,ANDI SANTOSO,PT Bank ABC,26977000.0,6980611060,55800000.0,0.987
DOC0000959,C000680,5494166252816216,EKO SAPUTRA,PT Bank ABC,26559000.0,8899320447,254400000.0,0.931
DOC0000456,C000144,9128311169233217,EKO SAPUTRA,CV Sejahtera,15058000.0,8077281359,471200000.0,0.893
DOC0000783,C000161,6685687325934275,BUDI WIJAYA,PT Bank ABC,5637000.0,1040045847,795600000.0,0.844
DOC0000744,C000384,7701276441508577,CITRA LESTARI,PT Maju Jaya,24721000.0,5017158956,288400000.0,1.0
DOC0000136,C000094,1139429285093153,Fajar Nugroho,PT Nusantara,22547000.0,4360971866,507700000.0,0.87
DOC0000804,C000008,9859801672143399,ANDI SANTOSO,PT Nusantara,26863000.0,6781738723,115300000.0,0.982
DOC0000950,C000236,3529426729485049,ANDI SANTOSO,PT Digital Indonesia,37223000.0,9874461648,490800000.0,0.962
DOC0000610,C000009,4055521329114630,EKO SAPUTRA,PT Nusantara,46261000.0,3625641638,297000000.0,0.663
DOC0001154,C000235,3784126048719927,CITRA LESTARI,PT Digital Indonesia,10169000.0,4360693583,400300000.0,0.759
DOC0000564,C000116,3734195696263623,ANDI SANTOSO,PT Maju Jaya,34730000.0,4562096312,784100000.0,0.96
DOC0000094,C000110,1395353292160465,DEWI PRATAMA,PT Bank ABC,15824000.0,9417245992,109400000.0,0.923
DOC0000636,C000114,2529056611271622,EKO SAPUTRA,CV Sejahtera,36773000.0,3806398277,797300000.0,0.767
DOC0000213,C000200,8913519276664647,ANDI SANTOSO,PT Maju Jaya,9224000.0,6191753482,608500000.0,0.803
DOC0000419,C000455,6600602205481661,Fajar Nugroho,PT Digital Indonesia,7891000.0,5826507254,41500000.0,0.778
DOC0000832,C000366,6726795459963169,CITRA LESTARI,PT Maju Jaya,29145000.0,9659216789,573200000.0,0.909
DOC0000976,C000300,8555238542910395,CITRA LESTARI,PT Nusantara,4741000.0,1124442226,328800000.0,1.0
DOC0000113,C000121,8315355548767298,CITRA LESTARI,PT Nusantara,43622000.0,6150451127,741700000.0,0.895
DOC0000358,C000050,5722861024735310,ANDI SANTOSO,PT Nusantara,40934000.0,3801512968,646100000.0,0.89
DOC0000677,C000635,7462785244938477,BUDI WIJAYA,PT Digital Indonesia,35314000.0,5638917061,203600000.0,0.909
DOC0000618,C000499,7272734761452173,EKO SAPUTRA,CV Sejahtera,42701000.0,2462417377,412700000.0,0.947
DOC0000650,C000580,8818352238284380,DEWI PRATAMA,PT Maju Jaya,8310000.0,1325843321,777200000.0,0.919
DOC0000916,C000462,9429190123406558,EKO SAPUTRA,CV Sejahtera,14226000.0,6865610274,249100000.0,0.871
DOC0000341,C000564,4359406758586334,CITRA LESTARI,PT Nusantara,39766000.0,3935171283,692700000.0,0.929
DOC0000157,C000209,5054012111295131,DEWI PRATAMA,PT Nusantara,21684000.0,1665213668,202900000.0,0.85
DOC0000278,C000219,1099150119959819,BUDI WIJAYA,PT Bank ABC,9299000.0,2114371833,325000000.0,0.907
DOC0000766,C000665,6012663616307260,Fajar Nugroho,PT Maju Jaya,8185000.0,7619585781,554600000.0,1.0
DOC0000459,C000148,3894016254031617,EKO SAPUTRA,CV Sejahtera,5884000.0,5666961034,739000000.0,0.93
DOC0000869,C000097,5284904128903451,EKO SAPUTRA,PT Digital Indonesia,6411000.0,1396760999,291900000.0,1.0
DOC0000095,C000628,3860943547625355,EKO SAPUTRA,CV Sejahtera,17270000.0,2318189241,461800000.0,0.91
DOC0000947,C000521,9155927051216000,Fajar Nugroho,PT Nusantara,24502000.0,9035045409,142900000.0,0.906
DOC0001159,C000578,2979508196277750,BUDI WIJAYA,PT Digital Indonesia,16898000.0,1800096931,593900000.0,0.933
DOC0000377,C000481,2914153599574981,DEWI PRATAMA,PT Maju Jaya,28445000.0,1401525745,98400000.0,0.974
DOC0000645,C000035,9537233787127890,BUDI WIJAYA,PT Digital Indonesia,16250000.0,3743329696,393000000.0,0.911
DOC0000515,C000084,6659789294462394,EKO SAPUTRA,PT Bank ABC,42851000.0,6862489574,622400000.0,0.883
DOC0000125,C000566,5603846952400479,DEWI PRATAMA,PT Nusantara,25248000.0,3322974346,306000000.0,0.9
DOC0000021,C000144,7336258920751139,DEWI PRATAMA,PT Maju Jaya,21094000.0,7241679758,30000000.0,0.986
DOC0000310,C000393,6967110182981964,EKO SAPUTRA,CV Sejahtera,33675000.0,7656309331,587800000.0,0.868
DOC0000125,C000495,5748370430939161,CITRA LESTARI,CV Sejahtera,6859000.0,4012370368,241800000.0,0.924
DOC0000087,C000534,4235261705852291,BUDI WIJAYA,PT Digital Indonesia,13645000.0,3695594025,32600000.0,1.0
DOC0000676,C000281,1426309862828257,EKO SAPUTRA,CV Sejahtera,16638000.0,1337639100,746600000.0,0.845
DOC0001078,C000272,7224250710975222,BUDI WIJAYA,PT Bank ABC,44605000.0,8993900690,346300000.0,0.909
DOC0000133,C000215,1598392770170022,Fajar Nugroho,PT Bank ABC,43548000.0,3707719730,356800000.0,0.936
DOC0000705,C000171,7268655819692017,BUDI WIJAYA,PT Maju Jaya,16302000.0,6433284151,302700000.0,0.832
DOC0000155,C000596,1416875960506308,CITRA LESTARI,CV Sejahtera,9984000.0,7041728646,680000000.0,0.994
DOC0000397,C000688,9013012612933229,BUDI WIJAYA,PT Bank ABC,41869000.0,5491175368,126900000.0,0.99
DOC0001036,C000624,1551103136351811,CITRA LESTARI,PT Nusantara,33760000.0,7655473372,356500000.0,0.846
DOC0000483,C000466,5941964764220167,DEWI PRATAMA,PT Maju Jaya,45229000.0,6445067786,421100000.0,1.0
DOC0000070,C000608,5396780467571160,ANDI SANTOSO,PT Digital Indonesia,33011000.0,9991486551,578500000.0,1.0
DOC0000480,C000401,4756496969284986,Fajar Nugroho,CV Sejahtera,18300000.0,5733902059,202500000.0,0.769
DOC0000858,C000565,2738294491195813,BUDI WIJAYA,PT Nusantara,12905000.0,8997372133,328600000.0,0.87
DOC0000569,C000260,9381502406872326,BUDI WIJAYA,PT Nusantara,26864000.0,9365921726,268800000.0,0.828
DOC0000921,C000423,9570134936109215,ANDI SANTOSO,PT Bank ABC,33201000.0,8541931650,449400000.0,0.958
DOC0000539,C000274,5430172475607458,BUDI WIJAYA,PT Maju Jaya,17926000.0,7682689840,393200000.0,0.871
DOC0000151,C000392,7384974044763193,EKO SAPUTRA,PT Nusantara,24295000.0,5866503048,178800000.0,0.974
DOC0001075,C000576,4915631298970593,EKO SAPUTRA,PT Bank ABC,6778000.0,9886572265,211100000.0,0.903
DOC0000354,C000349,7982398287862856,EKO SAPUTRA,PT Digital Indonesia,8174000.0,3295417588,431700000.0,0.93
DOC0000972,C000396,8353104702695160,ANDI SANTOSO,PT Nusantara,33018000.0,3774013709,519200000.0,1.0
DOC0000632,C000534,9401964816430076,EKO SAPUTRA,PT Nusantara,10048000.0,6110318309,527900000.0,0.993
DOC0000730,C000403,8244521203523936,Fajar Nugroho,PT Nusantara,6291000.0,2375484266,419600000.0,0.771
DOC0001200,C000649,3402887121847134,DEWI PRATAMA,PT Digital Indonesia,12121000.0,1207629581,130100000.0,0.905
DOC0001195,C000355,1752077407211656,CITRA LESTARI,CV Sejahtera,16181000.0,7527320863,162100000.0,0.794
DOC0001168,C000013,5371232565013874,DEWI PRATAMA,PT Nusantara,21288000.0,8062667630,357900000.0,0.814
DOC0000752,C000078,5449336688889941,BUDI WIJAYA,PT Digital Indonesia,4160000.0,9966346700,207700000.0,0.849
DOC0000066,C000209,4429319922089120,BUDI WIJAYA,PT Bank ABC,43087000.0,6569166045,449500000.0,0.866
DOC0000275,C000692,3473722775061927,ANDI SANTOSO,PT Nusantara,41499000.0,9057600639,638400000.0,0.812
DOC0001019,C000333,2570427478216713,DEWI PRATAMA,CV Sejahtera,19127000.0,6633422239,779400000.0,0.947
DOC0000896,C000277,8759430227924333,BUDI WIJAYA,PT Bank ABC,5032000.0,2796535339,390300000.0,0.912
DOC0000015,C000269,8514589367438880,EKO SAPUTRA,PT Maju Jaya,12775000.0,1601233872,402700000.0,0.931
DOC0000216,C000278,1465724692297733,Fajar Nugroho,PT Maju Jaya,12170000.0,6811449020,231300000.0,0.901
DOC0000340,C000557,6727328726127940,Fajar Nugroho,CV Sejahtera,9707000.0,5050305602,761600000.0,0.852
DOC0000387,C000178,7264081036693922,CITRA LESTARI,CV Sejahtera,43944000.0,7940906834,311800000.0,0.974
DOC0001018,C000462,7804437710820363,EKO SAPUTRA,PT Maju Jaya,10396000.0,1762823311,43300000.0,0.952
DOC0000265,C000408,4666808536940291,ANDI SANTOSO,PT Nusantara,25879000.0,2544381921,77400000.0,0.888
DOC0000345,C000643,7744873511985139,Fajar Nugroho,PT Bank ABC,30400000.0,5323482715,720000000.0,0.841
DOC0000133,C000014,5583448676680151,ANDI SANTOSO,PT Bank ABC,42727000.0,1588320750,295400000.0,0.879
DOC0000204,C000487,7979868116777024,EKO SAPUTRA,PT Bank ABC,10783000.0,9611717748,742500000.0,0.819
DOC0000813,C000363,8585391789991944,BUDI WIJAYA,PT Maju Jaya,10469000.0,4546837057,458400000.0,0.974
DOC0000259,C000411,1282069373138699,Fajar Nugroho,PT Bank ABC,41194000.0,9277013175,333400000.0,1.0
DOC0000539,C000538,5667339571173154,CITRA LESTARI,PT Maju Jaya,35746000.0,2728386795,514300000.0,0.882
DOC0001125,C000566,9409835040895145,BUDI WIJAYA,PT Nusantara,11669000.0,5630589831,355900000.0,0.896
DOC0000496,C000398,4789757436500877,EKO SAPUTRA,PT Bank ABC,38348000.0,1781786966,628000000.0,0.943
DOC0000209,C000183,7155096193610647,CITRA LESTARI,PT Bank ABC,23509000.0,9748484186,137000000.0,0.854
DOC0000562,C000426,4855409343932841,DEWI PRATAMA,PT Maju Jaya,6465000.0,5095023475,205400000.0,0.867
DOC0000267,C000561,7842842075935249,EKO SAPUTRA,PT Maju Jaya,6842000.0,8124153298,362500000.0,1.0
DOC0000941,C000612,7910837789714159,Fajar Nugroho,PT Nusantara,18689000.0,2750048725,707400000.0,0.9
DOC0000271,C000143,7096438231092824,BUDI WIJAYA,PT Nusantara,27932000.0,7998703643,404300000.0,0.961
DOC0001185,C000671,7145522825782807,CITRA LESTARI,PT Digital Indonesia,39604000.0,1573619388,688400000.0,1.0
DOC0000944,C000166,6709812692172897,Fajar Nugroho,PT Bank ABC,10470000.0,1649472968,776100000.0,0.894
DOC0000865,C000445,8500369550246821,EKO SAPUTRA,CV Sejahtera,25717000.0,9793426347,520400000.0,0.974
DOC0000392,C000550,3082674294495923,BUDI WIJAYA,PT Nusantara,23375000.0,4999846838,658800000.0,0.921
DOC0001038,C000507,7833962919939845,EKO SAPUTRA,PT Digital Indonesia,17978000.0,5302264387,131700000.0,0.778
DOC0000511,C000319,6608104656348119,BUDI WIJAYA,PT Nusantara,44102000.0,1271588976,168500000.0,0.992
DOC0001055,C000207,7813359558506007,BUDI WIJAYA,PT Nusantara,11543000.0,6168458035,403800000.0,0.91
DOC0000809,C000664,8479461793585398,CITRA LESTARI,PT Nusantara,7767000.0,8634388237,567400000.0,0.873
DOC0000842,C000570,9870957170998944,CITRA LESTARI,PT Digital Indonesia,40546000.0,5594226988,83400000.0,0.971
DOC0000600,C000612,6443669728942547,CITRA LESTARI,PT Maju Jaya,34794000.0,8624024765,618500000.0,0.891
DOC0000870,C000614,6051830350677541,BUDI WIJAYA,PT Nusantara,9630000.0,5952787981,527100000.0,0.869
DOC0000549,C000686,2583748125321309,CITRA LESTARI,PT Maju Jaya,38755000.0,3661822056,420900000.0,0.889
DOC0000005,C000430,3514450058054683,BUDI WIJAYA,PT Digital Indonesia,4818000.0,2525164841,789700000.0,1.0
DOC0000392,C000025,9068988449666455,EKO SAPUTRA,PT Nusantara,34811000.0,1317555994,576200000.0,1.0
DOC0000477,C000363,4514207448068770,CITRA LESTARI,PT Bank ABC,15236000.0,4405639507,754600000.0,0.895
DOC0001014,C000505,5648443555431102,EKO SAPUTRA,PT Bank ABC,5032000.0,8519742130,357100000.0,0.89
DOC0001199,C000348,2609860150367607,EKO SAPUTRA,CV Sejahtera,16642000.0,5193702524,676500000.0,0.975
DOC0000729,C000451,7175497171166952,BUDI WIJAYA,PT Maju Jaya,42955000.0,8409738755,519500000.0,0.934
DOC0000698,C000151,8165454481355064,EKO SAPUTRA,PT Maju Jaya,14809000.0,3720584938,355600000.0,0.964
DOC0000930,C000024,5288927620722846,Fajar Nugroho,PT Maju Jaya,9547000.0,5363006557,388000000.0,0.74
DOC0000859,C000521,2234300851499799,EKO SAPUTRA,PT Bank ABC,15471000.0,2578712537,752100000.0,0.806
DOC0000174,C000022,6032353960054331,ANDI SANTOSO,PT Digital Indonesia,25971000.0,3757857442,753900000.0,0.806
DOC0000488,C000129,6260422922146095,DEWI PRATAMA,PT Bank ABC,8352000.0,3638106820,206400000.0,0.866
DOC0000869,C000204,7323976039734138,BUDI WIJAYA,PT Digital Indonesia,18708000.0,1644773887,603100000.0,0.865
DOC0001173,C000071,1938972654957829,Fajar Nugroho,PT Bank ABC,15901000.0,4870345284,247200000.0,0.921
DOC0001115,C000129,4900787488183103,DEWI PRATAMA,PT Bank ABC,31727000.0,1378886480,270900000.0,0.972
DOC0001135,C000532,7403452946097968,CITRA LESTARI,CV Sejahtera,18590000.0,7521682277,627100000.0,0.915
DOC0000014,C000086,9152388569542154,BUDI WIJAYA,PT Digital Indonesia,14291000.0,1492479339,645500000.0,0.898
DOC0000161,C000494,7521206507046650,DEWI PRATAMA,PT Nusantara,23102000.0,3456503316,515700000.0,0.979
DOC0000641,C000627,7861409353603824,CITRA LESTARI,CV Sejahtera,33438000.0,2872478461,450300000.0,0.884
DOC0000249,C000210,9758312613928657,EKO SAPUTRA,PT Nusantara,5509000.0,2323550130,659900000.0,0.9
DOC0000061,C000318,5464042925719095,BUDI WIJAYA,PT Bank ABC,46496000.0,8015247860,111500000.0,0.994
DOC0000088,C000235,8649299981497395,DEWI PRATAMA,PT Bank ABC,38322000.0,1543668191,254600000.0,1.0
DOC0000242,C000264,9659072347224268,EKO SAPUTRA,PT Maju Jaya,41906000.0,7850796016,47500000.0,1.0
DOC0000825,C000210,5293143016590289,CITRA LESTARI,CV Sejahtera,10370000.0,1595937876,551700000.0,0.889
